Phone Issues,Time of Issue,Caller ID Number,Advertiser Business Phone Number,Type of Call or Message (Robocalls),Type of Call or Message (Telemarketing),State,Date (Ticket Date of Issue),Date (Ticket Created)
Telemarketing (including do not call and spoofing),4:27 PM,937-310-7255,-,,Prerecorded Voice,Indiana,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),4:29 PM,847-600-4154,-,,Prerecorded Voice,Illinois,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),4:30 PM,-,775-419-0445,,Prerecorded Voice,New Jersey,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),4:30 PM,410-469-8980,-,,Live Voice,Florida,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),4:32 p.m.,516-435-0983,-,,Prerecorded Voice,Illinois,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),4:36 PM,206-237-0050,-,,Live Voice,New York,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),4:36 PM,904-474-0061,-,,Prerecorded Voice,Florida,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),4:36 P.M.,515-964-9251,-,,Prerecorded Voice,Iowa,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),4:40 p.m.,724-320-0180,-,,Live Voice,Arkansas,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),4:44 p.m.,813-663-6719,-,,Live Voice,New Jersey,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),4:47 PM,469-904-6863,-,,Prerecorded Voice,Texas,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),4:56 PM,-,-,,Live Voice,Massachusetts,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),5:00 PM,-,347-227-6903,,Live Voice,California,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),5:00 p.m.,646-612-3456,-,,Live Voice,Ohio,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),5:00 P.M.,314-429-3331,314-429-3331,,Abandoned Calls,Michigan,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),5:02 PM,502-936-5461,-,,Live Voice,Kentucky,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),5:06 PM,202-666-8141,-,,Live Voice,Iowa,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),5:07 PM,404-891-5625,-,,Abandoned Calls,Georgia,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),5:08 p.m.,-,216-236-3612,,Abandoned Calls,Virginia,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),5:10 p.m.,646-863-8032,-,,Live Voice,Massachusetts,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),5:15 PM,-,-,,Live Voice,Maryland,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),5:16 PM,876-597-6030,-,,Live Voice,Nevada,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),5:19 PM,-,-,,Live Voice,Mississippi,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),5:30 PM,619-677-5805,619-677-5805,,Prerecorded Voice,California,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),5:30 PM,-,-,,Abandoned Calls,Wisconsin,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),5:30 P.M.,-,-,,Live Voice,Florida,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),5:34 PM,404-496-7006,-,,Prerecorded Voice,Georgia,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),5:42 PM,504-556-2878,-,,Live Voice,Louisiana,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),5:55 PM,-,-,,Abandoned Calls,Idaho,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),5:55 p.m.,-,717-862-5090,,Abandoned Calls,Pennsylvania,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),6:02 p.m.,-,-,,Abandoned Calls,Illinois,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),6:15 PM,202-864-1122,-,,Prerecorded Voice,Pennsylvania,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),6:24 PM,-,-,,Live Voice,Louisiana,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),6:37 AM,877-756-6899,-,,Prerecorded Voice,Arizona,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),6:45 PM,-,480-596-1008,,Prerecorded Voice,Texas,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),6:45 PM,-,614-132-0000,,Live Voice,Iowa,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),6:45 P.M.,781-473-0317,-,,Live Voice,Massachusetts,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),6:50 PM,480-257-4116,480-257-4116,,Live Voice,Massachusetts,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),6:52 p.m.,243-105-2678,-,,Live Voice,Connecticut,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),6:57 AM,213-217-9999,-,,Prerecorded Voice,Oregon,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),6:58 AM,254-236-6464,254-236-6464,,Prerecorded Voice,Alabama,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),7:00 p.m.,657-220-1612,-,,Prerecorded Voice,California,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),7:00 P.M.,305-203-5481,-,,Live Voice,Florida,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),7:06 PM,855-678-6337,855-678-6337,,Live Voice,Texas,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),7:08 AM,509-790-0609,509-790-0609,,Live Voice,Arizona,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),7:09 P.M.,855-489-2700,855-489-2700,,Live Voice,North Carolina,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),7:20 PM,855-678-6337,-,,Live Voice,Texas,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),7:25 AM,360-562-1941,-,,Prerecorded Voice,Washington,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),7:28 p.m.,360-587-4389,360-587-4389,,Live Voice,Pennsylvania,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),7:30 AM,866-609-7194,-,,Abandoned Calls,Colorado,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),7:30 AM,-,248-518-0449,,Live Voice,Arizona,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),7:30 PM,402-301-2462,-,,Live Voice,Nebraska,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),7:36 AM,845-363-0494,-,,Prerecorded Voice,Hawaii,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),7:42 p.m.,800-888-4555,-,,Live Voice,California,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),7:45 a.m.,-,-,,Live Voice,Missouri,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),7:49 a.m.,-,203-648-5825,,Text Messaage,Colorado,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),7:52 a.m.,-,-,,Live Voice,Connecticut,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),7:58 AM,-,-,,Prerecorded Voice,Louisiana,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),8:00 AM,-,-,,Live Voice,Pennsylvania,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),8:00 AM,-,201-603-2814,,Live Voice,New Jersey,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),8:00 a.m.,617-708-6522,617-708-6522,,Prerecorded Voice,Alabama,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),8:02 a.m.,317-810-8347,-,,Abandoned Calls,Indiana,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),8:14 A.M.,754-210-8082,754-210-8082,,Live Voice,Florida,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),8:15 AM,844-240-9758,-,,Abandoned Calls,Pennsylvania,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),8:15 AM,864-647-1511,-,,Text Messaage,South Carolina,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),8:22 AM,949-359-6855,-,,Abandoned Calls,California,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),8:30 AM,860-516-6330,-,,Abandoned Calls,Connecticut,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),8:30 PM,800-737-8423,-,,Abandoned Calls,Texas,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),8:32 AM,405-506-6145,-,,Live Voice,Oklahoma,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),8:43 AM,740-340-0057,-,,Abandoned Calls,California,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),8:45 a.m.,206-900-9175,-,,Live Voice,Indiana,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),8:55 PM,-,-,,Abandoned Calls,Montana,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:00 AM,-,509-319-2022,,Live Voice,Washington,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:00 AM,832-730-5444,-,,Prerecorded Voice,Indiana,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:00 a.m.,-,-,,Prerecorded Voice,Delaware,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:00 a.m.,-,876-527-1012,,Live Voice,Montana,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:00 P.M.,877-741-7301,877-741-7301,,Abandoned Calls,California,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:01 PM,585-489-1824,-,,Abandoned Calls,New York,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:05 AM,989-641-6052,-,,Live Voice,Michigan,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:08 AM,-,-,,Prerecorded Voice,California,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:09 AM,657-220-1612,-,,Prerecorded Voice,California,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:10 AM,312-924-0860,-,,Prerecorded Voice,Texas,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:13 AM,-,-,,Live Voice,District of Columbia,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:13 AM,323-325-5751,-,,Text Messaage,California,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:16 AM,-,-,,Prerecorded Voice,California,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:19 AM,313-307-4195,-,,Prerecorded Voice,Michigan,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:20 AM,301-274-6012,-,Prerecorded Voice,Prerecorded Voice,Maryland,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:22 A.M.,678-719-8278,-,,Abandoned Calls,Georgia,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:29 a.m.,407-930-9461,-,,Live Voice,Florida,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:30 a.m.,-,516-435-0983,,Prerecorded Voice,California,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:30 AM,412-385-5494,-,,Live Voice,Pennsylvania,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:30 PM,734-542-7758,-,,Live Voice,Missouri,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:38 a.m.,469-248-4184,-,,Live Voice,Pennsylvania,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:45 AM,-,855-235-1585,,Prerecorded Voice,California,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:45 AM,865-935-0160,-,,Abandoned Calls,Tennessee,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:45 A.M.,-,435-255-7561,,Prerecorded Voice,Iowa,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:46 AM,316-251-3348,316-251-3348,,Prerecorded Voice,Florida,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:46 AM,847-244-7712,-,,Live Voice,Oregon,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:47 a.m.,828-544-8216,-,,Prerecorded Voice,North Carolina,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:48 AM,657-220-1612,-,,Abandoned Calls,California,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:54 AM,773-312-3157,773-313-3157,,Prerecorded Voice,Connecticut,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),9:57 AM,913-225-9679,-,,Prerecorded Voice,Kansas,10/16/2015,10/16/2015
Telemarketing (including do not call and spoofing),10:13 A.M.,206-855-6970,206-855-6970,,Prerecorded Voice,California,10/19/2015,10/16/2015
Robocalls,2:55 PM,-,860-801-8169,Abandoned Call,,Connecticut,10/27/2015,10/16/2015
Telemarketing (including do not call and spoofing),4:00 p.m.,866-647-0881,866-647-0881,,Prerecorded Voice,Oklahoma,10/29/2015,10/16/2015
Robocalls,-,-,-,,,South Carolina,,10/16/2015
Telemarketing (including do not call and spoofing),-,-,-,,,California,,10/16/2015
Telemarketing (including do not call and spoofing),-,-,-,,,Pennsylvania,,10/16/2015
Telemarketing (including do not call and spoofing),-,-,-,,,West Virginia,,10/16/2015
Telemarketing (including do not call and spoofing),-,480-444-2423,-,,,California,,10/16/2015
Robocalls,9:00 AM,-,260-239-6811,Abandoned Call,,New Jersey,1/2/2015,10/17/2015
Telemarketing (including do not call and spoofing),7:00 P.M.,310-402-0589,-,,Prerecorded Voice,Arizona,8/20/2015,10/17/2015
Telemarketing (including do not call and spoofing),-,213-453-9943,-,,Abandoned Calls,California,9/21/2015,10/17/2015
Telemarketing (including do not call and spoofing),7:46 PM,626-768-0488,626-768-0488,,Abandoned Calls,California,9/25/2015,10/17/2015
Robocalls,9:35 AM,631-234-0000,-,Prerecorded Voice,,New York,10/1/2015,10/17/2015
Telemarketing (including do not call and spoofing),4:25 PM,901-477-7899,-,,Prerecorded Voice,Florida,10/2/2015,10/17/2015
Telemarketing (including do not call and spoofing),4:20 PM,816-555-0198,-,,Live Voice,Florida,10/7/2015,10/17/2015
Telemarketing (including do not call and spoofing),12:06 PM,000-000-0000,-,,Live Voice,Florida,10/8/2015,10/17/2015
Telemarketing (including do not call and spoofing),1:00 PM,631-555-7685,631-555-7685,,Live Voice,Pennsylvania,10/9/2015,10/17/2015
Telemarketing (including do not call and spoofing),10:08 a.m.,-,417-731-3583,,Prerecorded Voice,Montana,10/10/2015,10/17/2015
Telemarketing (including do not call and spoofing),5:59 p.m.,307-464-3137,-,,Prerecorded Voice,Kansas,10/12/2015,10/17/2015
Telemarketing (including do not call and spoofing),7:00 PM,614-745-2578,-,,Abandoned Calls,Florida,10/12/2015,10/17/2015
Telemarketing (including do not call and spoofing),9:00 A.M.,845-228-8345,-,,Live Voice,New York,10/12/2015,10/17/2015
Telemarketing (including do not call and spoofing),10:11 AM,410-469-8980,-,,Abandoned Calls,Florida,10/13/2015,10/17/2015
Telemarketing (including do not call and spoofing),1:26 p.m.,630-877-1061,-,,Prerecorded Voice,Illinois,10/13/2015,10/17/2015
Telemarketing (including do not call and spoofing),3:11 PM,-,-,,Abandoned Calls,Ohio,10/13/2015,10/17/2015
Telemarketing (including do not call and spoofing),7:28 p.m.,630-877-5560,-,,Prerecorded Voice,Illinois,10/13/2015,10/17/2015
Robocalls,10:15 AM,202-741-4061,202-741-4061,Prerecorded Voice,,Florida,10/14/2015,10/17/2015
Robocalls,10:45 P.M.,-,646-477-6724,Text Message,,Georgia,10/14/2015,10/17/2015
Robocalls,7:10 p.m.,832-792-9212,832-792-9212,Prerecorded Voice,,Ohio,10/14/2015,10/17/2015
Telemarketing (including do not call and spoofing),7:48 PM,-,-,,Abandoned Calls,Ohio,10/14/2015,10/17/2015
Robocalls,10:47 a.m.,-,-,Abandoned Call,,Michigan,10/15/2015,10/17/2015
Telemarketing (including do not call and spoofing),-,-,855-669-0030,,Prerecorded Voice,Maryland,10/15/2015,10/17/2015
Telemarketing (including do not call and spoofing),2:05 p.m.,615-486-3029,-,,Live Voice,Tennessee,10/15/2015,10/17/2015
Telemarketing (including do not call and spoofing),3:15 p.m.,989-366-0199,-,,Live Voice,Ohio,10/15/2015,10/17/2015
Telemarketing (including do not call and spoofing),4:00 PM,800-250-5831,800-250-5831,,Live Voice,South Dakota,10/15/2015,10/17/2015
Telemarketing (including do not call and spoofing),5:00 PM,949-347-5206,949-444-2107,,Live Voice,California,10/15/2015,10/17/2015
Robocalls,10:25 AM,845-363-0494,-,Prerecorded Voice,,Massachusetts,10/16/2015,10/17/2015
Robocalls,11:00 AM,206-777-1942,855-343-7890,Prerecorded Voice,,Washington,10/16/2015,10/17/2015
Robocalls,11:35 AM,469-386-7282,-,Prerecorded Voice,,Texas,10/16/2015,10/17/2015
Robocalls,12:30 PM,206-855-3135,206-855-3135,Prerecorded Voice,,New Jersey,10/16/2015,10/17/2015
Robocalls,2:20 PM,410-725-0936,410-725-0936,Prerecorded Voice,,Maryland,10/16/2015,10/17/2015
Robocalls,6:49 p.m.,267-233-6724,-,Prerecorded Voice,,Massachusetts,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),-,-,-,,Abandoned Calls,California,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),-,517-252-4296,-,,Abandoned Calls,Michigan,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),01:46 P.M.,-,844-330-6988,,Live Voice,California,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),04:23 P.M.,-,843-555-0163,,Live Voice,California,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),08:05 A.M.,-,-,,Live Voice,Arkansas,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),10:00  a.m.,866-960-6330,-,,Abandoned Calls,Florida,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),1:00 PM,323-284-5627,323-284-5627,,Prerecorded Voice,California,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),1:00 PM,877-321-9908,-,,Prerecorded Voice,Virginia,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),10:31 a.m.,904-507-0052,-,,Live Voice,Arkansas,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),1:04 PM,469-386-8796,-,,Prerecorded Voice,Texas,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),11:24 A.M.,-,261-203-1077,,Live Voice,California,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),11:26 AM,347-502-5817,-,,Prerecorded Voice,New York,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),11:47 AM,267-233-6724,-,,Prerecorded Voice,Connecticut,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),12:05 AM,347-278-0093,-,,Live Voice,Alabama,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),1:31 PM,214-974-9635,-,,Prerecorded Voice,Texas,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),2:00 PM,718-658-7748,-,,Live Voice,Michigan,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),3:44 PM,214-416-8200,-,,Prerecorded Voice,Texas,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),5:24 PM,971-220-1894,971-220-1894,,Abandoned Calls,Missouri,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),7:00 p.m.,909-251-7589,-,,Live Voice,Texas,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),7:00 PM,336-487-1034,336-487-1034,,Live Voice,Nebraska,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),8:29 A.M.,888-441-9257,888-441-9257,,Live Voice,New Jersey,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),8:29 p.m.,845-454-0535,-,,Live Voice,Oregon,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),8:40 p.m.,202-459-9249,206-453-1381,,Live Voice,New York,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),9:14 AM,-,702-327-3510,,Prerecorded Voice,Illinois,10/16/2015,10/17/2015
Telemarketing (including do not call and spoofing),9:15 PM,878-559-4877,878-559-4877,,Live Voice,California,10/16/2015,10/17/2015
Robocalls,-,-,-,Abandoned Call,,Georgia,10/17/2015,10/17/2015
Robocalls,-,661-670-2568,-,Abandoned Call,,Florida,10/17/2015,10/17/2015
Robocalls,10:00 a.m.,214-709-3562,214-709-3562,Prerecorded Voice,,Texas,10/17/2015,10/17/2015
Robocalls,10:00 PM,347-470-3528,-,Prerecorded Voice,,Virginia,10/17/2015,10/17/2015
Robocalls,10:24 AM,770-807-3915,770-807-3915,Autodialed Live Voice Call,,Georgia,10/17/2015,10/17/2015
Robocalls,10:32 AM,800-343-5945,-,Abandoned Call,,Virginia,10/17/2015,10/17/2015
Robocalls,10:55 AM,402-880-1632,-,Prerecorded Voice,,Nebraska,10/17/2015,10/17/2015
Robocalls,11:15 AM,-,248-504-0628,Abandoned Call,,Michigan,10/17/2015,10/17/2015
Robocalls,11:30 AM,-,-,Prerecorded Voice,,Virginia,10/17/2015,10/17/2015
Robocalls,11:30 a.m.,317-439-9923,-,Prerecorded Voice,,Indiana,10/17/2015,10/17/2015
Robocalls,11:34 AM,914-595-7031,-,Abandoned Call,,New Jersey,10/17/2015,10/17/2015
Robocalls,11:36 a.m.,409-737-6011,-,Prerecorded Voice,,Colorado,10/17/2015,10/17/2015
Robocalls,12:00 PM,-,800-624-9897,Abandoned Call,,Virginia,10/17/2015,10/17/2015
Robocalls,12:09 p.m.,214-736-9027,-,Prerecorded Voice,,Florida,10/17/2015,10/17/2015
Robocalls,12:30 p.m.,734-707-0666,-,Prerecorded Voice,,Tennessee,10/17/2015,10/17/2015
Robocalls,2:00 AM,224-334-0619,-,Abandoned Call,,Illinois,10/17/2015,10/17/2015
Robocalls,2:20 PM,405-922-9765,-,Prerecorded Voice,,Oklahoma,10/17/2015,10/17/2015
Robocalls,3:12 PM,484-324-8497,-,Abandoned Call,,Pennsylvania,10/17/2015,10/17/2015
Robocalls,3:37 PM,864-288-5876,-,Prerecorded Voice,,South Carolina,10/17/2015,10/17/2015
Robocalls,4:45 PM,866-869-1920,-,Abandoned Call,,California,10/17/2015,10/17/2015
Robocalls,4:49 P.M.,-,214-288-4737,Text Message,,Georgia,10/17/2015,10/17/2015
Robocalls,5:36 PM,719-387-1553,-,Prerecorded Voice,,Colorado,10/17/2015,10/17/2015
Robocalls,5:47 a.m.,-,806-589-0209,Prerecorded Voice,,California,10/17/2015,10/17/2015
Robocalls,6:37 P.M.,816-555-0198,-,Abandoned Call,,Florida,10/17/2015,10/17/2015
Robocalls,6:42 PM,-,855-876-5380,Abandoned Call,,Indiana,10/17/2015,10/17/2015
Robocalls,6:43 p.m.,-,-,Prerecorded Voice,,Virginia,10/17/2015,10/17/2015
Robocalls,7:20 PM,-,-,Abandoned Call,,Florida,10/17/2015,10/17/2015
Robocalls,8:06 AM,559-549-5083,-,Prerecorded Voice,,California,10/17/2015,10/17/2015
Robocalls,8:39 PM,571-210-4826,-,Prerecorded Voice,,Virginia,10/17/2015,10/17/2015
Robocalls,8:56 PM,000-772-3321,-,Autodialed Live Voice Call,,New York,10/17/2015,10/17/2015
Robocalls,9:00 A.M.,888-202-2385,-,Abandoned Call,,Washington,10/17/2015,10/17/2015
Robocalls,9:05 AM,407-749-1042,-,Autodialed Live Voice Call,,Florida,10/17/2015,10/17/2015
Robocalls,9:08 a.m.,913-225-9679,-,Prerecorded Voice,,Kansas,10/17/2015,10/17/2015
Robocalls,9:30 A.M.,480-376-2271,-,Abandoned Call,,Arizona,10/17/2015,10/17/2015
Robocalls,9:46 AM,571-281-2093,-,Autodialed Live Voice Call,,Virginia,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),-,-,-,,Abandoned Calls,Ohio,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),-,281-984-4606,-,,Live Voice,Pennsylvania,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),10:00 AM,785-594-1728,-,,Live Voice,California,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),10:05 AM,415-997-4099,-,,Live Voice,California,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),10:08 AM,202-521-9704,-,,Live Voice,Virginia,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),1:00 PM,479-478-9053,-,,Abandoned Calls,Arkansas,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),1:00 p.m.,314-450-8957,-,,Live Voice,Tennessee,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),10:10 AM,-,312-754-8541,,Live Voice,Nevada,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),10:25 AM,337-945-9907,-,,Prerecorded Voice,Louisiana,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),10:50 AM,347-502-2817,-,,Prerecorded Voice,New York,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),11:00 AM,-,-,,Abandoned Calls,Montana,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),11:00 a.m.,877-259-0116,-,,Abandoned Calls,Maine,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),11:06 AM,-,951-292-0190,,Text Messaage,California,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),11:15 AM,866-585-6064,-,,Live Voice,Michigan,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),11:15 a.m.,580-302-1212,-,,Prerecorded Voice,Oklahoma,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),11:24 a.m.,267-388-9492,-,,Prerecorded Voice,Pennsylvania,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),11:30 AM,760-206-7399,-,,Live Voice,California,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),11:32 AM,408-610-8901,-,,Abandoned Calls,California,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),11:34 AM,203-824-3528,-,,Live Voice,Connecticut,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),11:37 a.m.,-,-,,Live Voice,Alabama,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),11:40 a.m.,817-203-9011,-,,Prerecorded Voice,New York,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),11:47 AM,866-996-1025,-,,Abandoned Calls,Nevada,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),11:49 A.M.,410-120-2023,949-429-0525,,Live Voice,Maryland,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),1:14 PM,704-887-6158,-,,Abandoned Calls,North Carolina,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),11:58 a.m.,405-476-5605,-,,Prerecorded Voice,Oklahoma,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),1:15 PM,877-561-2272,855-242-6842,,Prerecorded Voice,North Carolina,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),1:15 p.m.,832-445-4195,832-445-4195,,Prerecorded Voice,North Carolina,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),1:19 PM,904-600-5875,-,,Abandoned Calls,Florida,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),12:00 PM,-,-,,Live Voice,Wisconsin,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),12:00 p.m.,653-274-9579,-,,Live Voice,Texas,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),12:00 P.M.,815-301-5707,-,,Live Voice,Florida,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),12:05 PM,214-736-9027,-,,Prerecorded Voice,Florida,10/17/2015,10/17/2015
Telemarketing (including do not call and spoofing),12:30 p.m.,423-323-4214,-,,Abandoned Calls,Tennessee,10/17/2015,10/17/2015
